"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 03:41:07 UTC 2024","Tue Feb 27 03:41:21 UTC 2024","14478","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Tue Feb 27 02:53:43 UTC 2024","Tue Feb 27 02:53:52 UTC 2024","8950","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Feb 27 02:50:39 UTC 2024","Tue Feb 27 02:50:42 UTC 2024","2737","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Feb 27 02:29:55 UTC 2024","Tue Feb 27 02:30:11 UTC 2024","15736","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Feb 27 02:53:42 UTC 2024","Tue Feb 27 02:53:43 UTC 2024","1640","","6. Company Account","","","","6. Review Review Page",""
"passed","Tue Feb 27 03:55:05 UTC 2024","Tue Feb 27 03:56:14 UTC 2024","69166","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Feb 27 03:56:19 UTC 2024","Tue Feb 27 03:56:24 UTC 2024","4789","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Feb 27 03:48:06 UTC 2024","Tue Feb 27 03:48:10 UTC 2024","4241","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Tue Feb 27 02:35:52 UTC 2024","Tue Feb 27 02:36:12 UTC 2024","19810","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Feb 27 02:48:10 UTC 2024","Tue Feb 27 02:48:13 UTC 2024","3467","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Feb 27 02:42:29 UTC 2024","Tue Feb 27 02:42:32 UTC 2024","3257","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Feb 27 02:42:14 UTC 2024","Tue Feb 27 02:42:17 UTC 2024","2991","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Feb 27 03:23:03 UTC 2024","Tue Feb 27 03:23:06 UTC 2024","3451","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Tue Feb 27 03:36:56 UTC 2024","Tue Feb 27 03:37:13 UTC 2024","16488","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Feb 27 02:53:04 UTC 2024","Tue Feb 27 02:53:12 UTC 2024","7427","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Feb 27 03:57:05 UTC 2024","Tue Feb 27 03:58:13 UTC 2024","67721","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Tue Feb 27 04:05:00 UTC 2024","Tue Feb 27 04:05:23 UTC 2024","22815","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Feb 27 02:44:37 UTC 2024","Tue Feb 27 02:44:57 UTC 2024","20184","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Feb 27 03:22:47 UTC 2024","Tue Feb 27 03:23:03 UTC 2024","15849","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Feb 27 02:36:12 UTC 2024","Tue Feb 27 02:36:18 UTC 2024","6575","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Feb 27 02:30:11 UTC 2024","Tue Feb 27 02:30:22 UTC 2024","11487","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
